#Activity	walking running walking standing 
#ActivityID	1 2 1 8 
#Date 08-22-18-45
acc_rf_x	acc_rf_y	acc_rf_z	gyro_rf_x	gyro_rf_y	gyro_rf_z	acc_rs_x	acc_rs_y	acc_rs_z	gyro_rs_x	gyro_rs_y	gyro_rs_z	acc_rt_x	acc_rt_y	acc_rt_z	gyro_rt_x	gyro_rt_y	gyro_rt_z	acc_lf_x	acc_lf_y	acc_lf_z	gyro_lf_x	gyro_lf_y	gyro_lf_z	acc_ls_x	acc_ls_y	acc_ls_z	gyro_ls_x	gyro_ls_y	gyro_ls_z	acc_lt_x	acc_lt_y	acc_lt_z	gyro_lt_x	gyro_lt_y	gyro_lt_z	EMG_r	EMG_l	act
-11416	-8088	9644	240	406	352	-20272	-6224	-7416	-1029	1799	-749	-11744	10312	-11816	437	1534	303	-6376	15704	20432	1227	4481	-3955	-29648	-2960	1936	1978	3045	-114	-19976	-6912	12256	-444	-2219	-303	123	118	1
-11292	-8876	10428	288	289	273	-14456	-8584	-9280	-552	1179	-494	-11992	-1944	-8664	-1804	1878	377	-7664	21360	20328	623	4959	-4644	-28648	3064	-424	2361	3063	-19	-21768	-4664	6256	825	-2184	-375	121	125	1
-8644	-8932	12008	347	84	104	-14272	-8208	-9040	-421	1153	-475	-16704	-10408	-9184	-1050	1898	25	-11720	10440	22968	998	5148	-4619	-22432	3648	-776	1591	3093	-299	-21656	3464	-7520	3073	-1718	-138	120	127	1
-8180	-9188	11324	350	-19	22	-16544	-3160	-3824	1169	1097	48	-17760	-3824	-5088	843	1939	99	-10824	31416	21944	736	4006	-3960	-20736	5232	-14928	1170	3211	-233	-26776	5984	-9784	3194	-1834	644	135	126	1
-7676	-7936	11952	282	-25	13	-17760	872	-3296	567	949	-106	-16904	2656	72	1511	1588	156	-25600	32767	32767	-1382	1230	-2544	-15232	3456	-18976	-665	2183	-230	-29088	2368	-8480	1718	-2463	1265	121	124	1
-7652	-7528	12576	99	45	-17	-17384	1312	-3528	-796	485	-431	-17432	4080	-216	898	1428	401	4088	14744	18128	-879	-1537	-441	-20256	-3400	-5736	119	1036	-131	-30128	1456	-8064	-71	-3175	1214	114	123	1
-7684	-8004	12152	-86	108	-48	-16512	-5664	-2472	-1168	330	-595	-16864	1376	-1712	73	1386	677	4640	10872	10184	-340	-1808	-199	-13672	-2848	-5656	1268	-158	71	-24472	1664	-6560	-796	-3153	1550	136	123	1
-7684	-8680	11524	-159	120	-43	-14016	-10456	-1136	355	561	-330	-15536	-2640	-1432	-186	1232	655	5648	9776	8648	-288	-2076	624	-6352	-664	-6304	1108	-882	230	-21520	-40	-5680	-641	-3283	1710	146	125	1
-7576	-9052	10920	-97	74	-1	-14392	-5888	-1656	1339	681	-120	-15512	-4144	-1504	-72	1158	525	5512	7440	8360	-45	-2238	1386	-6224	-712	-5256	757	-1410	357	-18632	-256	-5256	259	-2609	1630	164	126	1
-7740	-8704	11060	-6	53	32	-16624	-56	-2752	425	532	-141	-15904	-2224	-1192	67	1205	418	2656	8184	9816	345	-2499	1890	-9304	736	-5328	322	-2192	503	-17704	656	-5432	622	-2114	1546	141	127	1
-7624	-8048	11560	17	72	40	-16632	-16	-2024	-994	300	-301	-15848	696	-344	210	1212	519	-448	9944	12512	558	-3086	2313	-8872	632	-7512	-122	-2962	636	-16688	1616	-5920	313	-2048	1384	130	130	1
-7684	-7788	11884	-49	115	30	-15520	-4816	-1968	-1281	243	-405	-15232	1792	-504	403	1332	679	-1920	9440	13144	801	-3881	2726	-7456	-384	-7344	-243	-3661	832	-15248	2888	-6264	-574	-2053	984	126	131	1
-7888	-7872	11720	-100	140	27	-14400	-7312	-1608	-499	363	-295	-15080	464	-1152	266	1494	684	-2848	8712	12008	1042	-4402	2814	-8856	-312	-5160	-56	-4193	1002	-12928	3352	-6144	-1315	-1905	713	126	127	1
-7624	-8276	11140	-124	149	29	-14808	-5992	-1216	22	504	-207	-15192	-1472	1328	-337	1816	421	-4584	10672	13128	1114	-4585	2678	-11432	-528	-7096	37	-4596	1206	-10696	2008	-6160	-1836	-1859	641	126	127	1
-7660	-8284	11020	-103	152	48	-14976	-4056	-1224	21	583	-156	-15592	-1024	1912	-906	2161	92	-6736	11808	15880	1243	-4691	2698	-13464	-712	-9472	-60	-4986	1310	-9200	1320	-5032	-1962	-1768	600	124	128	1
-7564	-8532	10964	-79	159	64	-14392	-4328	-312	-527	630	-167	-17216	-2936	-1512	-999	1905	1	-8576	13488	16768	1574	-4755	2817	-15280	-960	-8912	175	-5252	1227	-9096	736	-5472	-2025	-1696	590	122	128	1
-7588	-8924	10872	-44	140	120	-14728	-5688	-1216	-757	701	-166	-19288	-5192	-3888	-904	1307	170	-10208	18744	17432	1360	-4542	3054	-15664	-1592	-8944	492	-5366	1341	-8480	-600	-4520	-1971	-1415	388	121	129	1
-7876	-8540	11188	-7	125	156	-15704	-6496	-3592	-656	758	-83	-17464	-4952	-4936	-574	1175	267	-10120	18112	18096	1044	-3949	3506	-17552	-992	-9720	511	-5481	1502	-8176	-1824	-3984	-1750	-1219	288	122	133	1
-8036	-8376	11492	-27	149	153	-16208	-5408	-3752	-577	762	-45	-15648	-2528	-4632	-397	1192	331	-11544	20120	21008	1236	-3350	3777	-18288	-592	-9944	483	-5492	1526	-8512	-1768	-2144	-1394	-962	176	70	128	1
-8300	-8528	11320	-68	181	142	-15616	-4424	-3184	-662	767	8	-15328	320	-3312	-503	1126	329	-14720	23888	23768	1127	-3032	4053	-24184	3736	-11032	-840	-5645	1744	-9344	-3232	1368	-880	-608	212	119	130	1
-7936	-8428	11264	-123	214	146	-15112	-3872	-1920	-779	810	25	-16072	248	-1880	-588	989	236	-20768	19352	25736	929	-2509	4351	-24680	3616	-10344	-2310	-5456	1310	-10680	-664	5152	172	-95	255	120	128	1
-8128	-8884	11276	-89	214	191	-15184	-4784	-1744	-675	871	20	-17144	-1896	-824	-554	965	204	-29896	18200	25400	614	-2172	4272	-25152	3904	-13664	-2979	-4787	573	-12520	6048	10096	1300	490	497	119	127	1
-8020	-8228	11412	-162	244	246	-15432	-5184	-2016	-540	1027	38	-17272	-2096	-1000	-545	959	207	-32544	12232	16744	-584	-2052	3730	-21416	-1272	-16080	-3086	-3729	34	-17264	14568	19384	1983	-64	772	113	128	1
-7464	-9652	11936	-404	424	407	-15840	-6120	-2488	-235	1200	93	-15768	-1936	-1312	-478	968	201	-32768	2448	8096	121	-1801	2207	-15920	-1888	-16552	-1672	-2700	37	-17488	16288	18480	376	337	1065	136	127	1
-7824	-10536	12164	-293	736	589	-16240	-5992	-2728	-193	1215	87	-17232	312	-1808	-562	1011	135	-32768	-4672	2792	404	-1436	331	-8032	-1040	-17424	-25	-1169	571	-17280	10944	21800	-1958	-408	416	133	127	1
-7888	-9080	12756	-143	1045	702	-17896	-3368	-3176	-534	1410	143	-17936	136	-2104	-779	1031	121	-32768	-1584	3960	425	-320	-822	-7208	-368	-16736	1007	775	507	-16408	7360	16960	-2098	-645	77	127	127	1
-8408	-8348	12828	-157	1472	777	-17608	-4448	-3440	-511	1569	218	-17904	-1080	-2112	-995	864	189	-32768	2360	7560	-691	617	-1300	-11080	352	-15984	1662	2212	-47	-13528	1648	9712	-1449	-389	-192	122	127	1
-9080	-10340	12220	-135	1838	985	-17872	-4840	-3808	-401	1746	251	-18184	-2448	-2200	-937	669	312	-24728	5224	8792	-811	963	-1747	-14008	2992	-15640	1310	2917	-199	-15424	-248	12064	-165	-250	-457	114	126	1
-8888	-9432	11932	-174	2213	1201	-17504	-3624	-3632	-527	1914	301	-17528	-3632	-1096	-650	466	380	-8664	32767	5568	-5784	2758	-2323	-17352	12280	1080	2044	2873	-43	7024	-3480	-9720	1302	1928	-1168	119	126	1
-9608	-8972	11944	-278	2624	1447	-18184	-3168	-2712	-818	2060	358	-17888	-4000	240	-509	194	353	32767	19744	6856	-875	3080	-2193	-32768	1696	32767	3085	-157	-1071	-24728	17952	-9336	4285	2220	-67	122	125	1
-9220	-8652	13612	-215	3225	1687	-21800	-5008	-1616	-1138	2167	546	-19648	-6120	1296	-453	74	183	-25320	21752	32767	12	4138	-1264	-10880	16704	-27848	-4256	1259	590	-31696	23472	-2296	3836	1883	934	111	123	1
-10616	-10520	11556	-358	3913	2178	-24128	-2208	-584	-903	2320	664	-24544	-5728	7552	-117	-821	236	-11264	5176	23072	-462	2233	-1099	-18888	-4576	-7568	-3913	3661	-996	-17952	-4496	1520	-2481	1994	-623	122	122	1
-11628	-14008	9988	-362	4807	2934	-25160	-3000	5976	-1772	2386	604	-21552	-3432	11816	-437	-2177	200	-5024	7952	15808	-23	1723	-893	-20896	-4544	-3192	-2731	2482	-500	-19248	-10768	-3032	-2204	1136	-194	138	121	1
-18932	-14276	12244	220	4874	3912	-22656	-5888	2104	-2145	2706	425	-18152	3616	9608	-444	-2125	357	-5824	7912	16200	108	1543	-946	-12560	-4344	-8024	-910	1525	80	-9904	-4680	-72	-349	1112	273	143	123	1
-23488	-13568	12756	674	4809	4495	-22392	-9696	-2568	-1745	3053	466	-18912	3824	2248	-374	-1819	148	-9176	18320	16112	-119	400	-724	-12456	792	-11384	420	1325	512	-13656	6760	-3568	1059	1428	-278	132	127	1
-20012	-16320	17428	1376	4743	4752	-21736	-9592	-1528	-1194	3004	312	-20848	-248	-7456	-1824	-1328	-624	-5776	7904	15536	-260	79	-197	-22824	5512	-8128	271	1560	324	-18792	11344	-8472	1393	1806	-21	130	127	1
-22624	-8252	14708	-478	4665	3786	-19744	-4728	-11104	58	3173	524	-26752	-2808	-10568	-1630	-1425	-1286	-3984	11240	13320	-313	14	-75	-18912	3872	-4752	303	1058	115	-17768	7352	-2128	292	1506	406	129	126	1
-11816	-24404	23180	-2049	3162	2327	-18464	-672	-21320	615	2754	1063	-25992	-584	-10296	-583	-2086	-1636	-4336	10136	13720	-240	23	-59	-14664	1432	-3872	179	1017	53	-15728	3264	776	-180	1354	143	124	130	1
-13532	-29224	24940	950	-1307	603	-17328	-2800	-9720	-966	1394	545	-25768	2480	-8656	523	-2642	-1653	-368	7528	9200	-216	34	-72	-15288	-296	-3224	794	740	213	-15624	2032	1480	-180	1322	-240	124	130	1
576	-7064	13968	748	-2276	127	-14096	-1120	-4136	-1136	201	278	-23272	1544	-7512	877	-2564	-1546	-3320	8392	14152	-77	60	-87	-17200	1216	-3304	873	591	317	-16016	2016	1496	133	1246	-368	124	131	1
-176	-9644	10204	-240	-2610	-324	-9088	-3944	-6840	-467	-453	397	-19888	-344	-5976	625	-2298	-1184	-3608	8400	13752	-3	67	-108	-16848	3264	-2864	418	717	368	-15616	2640	1488	548	1211	-409	128	129	1
-544	-12300	8272	206	-3169	-752	-5016	-1864	-5720	-163	-1105	106	-19080	2000	-6552	297	-2031	-1266	-3600	9192	13456	19	55	-143	-17272	4600	-3200	-338	841	214	-15912	2840	1288	626	1192	-380	128	134	1
-1120	-9464	7812	314	-3497	-1133	-7360	-2216	-5648	-97	-1741	-178	-16640	-144	-6256	54	-1899	-1150	-3648	9440	13280	-3	53	-183	-15816	2768	-4232	-776	667	111	-16192	3784	792	931	1244	-266	105	135	1
-3324	-10180	7256	-30	-3671	-1511	-9312	-4432	-6144	443	-2413	-154	-15808	-3120	-5768	625	-1883	-1223	-4128	9264	13600	-35	94	-190	-15256	8	-5112	-300	499	151	-14760	3912	-568	1236	1134	-267	153	137	1
-5256	-11216	6676	-17	-3794	-1784	-8632	-3656	-6504	1230	-2909	-170	-15912	-2384	-5656	1277	-1826	-1293	-3608	8560	13720	4	114	-143	-16648	664	-4672	547	451	345	-15080	4240	-1008	1160	1134	-244	130	139	1
-7288	-10500	6972	-133	-3788	-2112	-9224	-2704	-7400	1819	-3292	-233	-14728	-736	-5656	1948	-1852	-1151	-3616	9080	13656	44	117	-117	-16536	3296	-3544	789	463	383	-15592	3136	-552	1082	1176	-320	121	139	1
-9184	-11368	7720	-397	-3677	-2509	-10824	-3000	-7992	2057	-3633	-269	-12432	408	-5512	2277	-1911	-958	-3984	9296	13432	49	123	-118	-16960	584	-2664	485	486	291	-15848	2472	-296	1020	1161	-400	126	140	1
-11080	-13864	9520	-610	-3548	-2996	-10856	4152	-14656	2375	-3517	-208	-9856	-832	-7000	2059	-1969	-715	-3520	10032	13400	60	114	-108	-15536	8080	-1736	481	389	215	-16344	2328	-80	1513	857	-882	120	140	1
-15020	-13328	10092	-612	-3434	-3433	-15448	-496	-13232	2039	-4545	139	-10168	1472	-4248	1876	-1582	-368	-3976	9088	13640	54	112	-92	-15792	4280	-3200	-100	495	224	-14320	5960	-1424	906	1178	-737	116	139	1
-15200	-11908	10940	-756	-3287	-3686	-13208	-2256	-9336	833	-4647	-320	-10352	1664	-4240	1699	-1575	-550	-3856	8912	13392	64	112	-96	-15928	3192	-3664	-46	637	217	-15424	8504	-360	211	1328	-428	112	135	1
-16548	-13936	11664	-777	-3171	-3584	-16472	-4760	-10280	635	-5024	-494	-10464	3424	-3536	1606	-1313	-384	-3592	9488	13056	58	128	-107	-15864	3472	-3104	189	760	125	-14816	9032	304	-371	1640	-227	136	135	1
-17976	-13324	13584	-978	-3049	-3491	-16456	-4784	-9344	546	-5317	-683	-9848	4424	-2992	1176	-988	-356	-3640	9384	13848	71	152	-126	-16112	3664	-4392	185	774	173	-15176	6560	-232	-225	1945	-250	127	134	1
-20088	-16068	15116	-1078	-2902	-3563	-17680	-5672	-9648	1245	-5167	-778	-9136	4984	-1600	610	-658	-324	-3840	8744	14128	132	186	-166	-16352	2376	-5472	189	794	189	-16432	2400	-2968	65	2126	-386	126	133	1
-21868	-14736	16092	-706	-2664	-3685	-20352	-4872	-9992	1922	-5046	-775	-8960	4448	824	-225	-428	-298	-4168	9296	14144	233	232	-210	-16344	2504	-4728	313	798	170	-17784	1104	-3208	176	1725	-467	125	134	1
-28064	-10104	17828	-963	-2226	-3942	-21848	-4560	-12544	1985	-4898	-499	-10056	-1144	3968	-1549	-306	-472	-4280	9112	13848	358	289	-279	-16624	2224	-4768	430	814	242	-16896	3008	-1224	314	1366	-381	124	138	1
-32768	-7228	14396	-1114	-2224	-3786	-20792	-4840	-12648	1001	-4392	-192	-12896	-7728	6472	-2036	-71	-976	-4376	8888	13184	521	369	-330	-16536	2232	-3936	669	937	248	-15640	4896	488	671	1248	-211	126	141	1
-32768	-548	6260	-798	-2354	-2730	-18320	-2488	-14920	217	-3664	-625	-18072	-9624	11296	-995	-172	-1365	-3872	9456	14120	712	517	-425	-16656	3960	-3792	715	1100	209	-16192	4360	1752	992	1296	-80	124	140	1
-32768	9536	512	-1553	-2038	-1341	-14280	-3440	-17496	-637	-2786	-840	-19016	-8624	14216	1	-124	-839	-4560	9408	14344	648	906	-616	-17808	4320	-3336	596	1310	156	-17752	4976	1632	1104	1240	8	123	135	1
-32768	12400	-4384	-1884	-1605	-90	-10648	-472	-16392	-1719	-1512	-992	-16720	-11280	12240	412	-248	67	-4400	10000	15440	708	1218	-761	-18408	3448	-3968	455	1541	64	-17976	6296	896	1209	1122	-79	121	135	1
-32768	11904	-6080	-962	-665	735	-9704	-2056	-17088	-2065	46	-595	-15168	-10312	9640	376	-15	385	-3824	10192	14912	782	1581	-898	-18744	2720	-4560	473	1764	-46	-17368	7016	-88	1247	986	-134	120	129	1
-32768	7044	-4324	-20	166	1157	-9392	-3280	-17240	-1548	1482	-41	-14016	-7064	5264	515	362	158	-3912	10360	14632	899	1925	-1111	-18144	2472	-4328	512	1975	-90	-16880	6736	1296	962	702	-245	128	128	1
-7644	-32768	4524	4560	2061	2209	-10208	-12664	-10416	-1303	2525	81	-16272	-3856	9648	218	-573	52	-4808	10568	14760	1155	2293	-1341	-18264	2080	-4544	527	2194	-142	-17120	7360	1192	700	461	-254	128	129	1
20420	-672	32767	2451	3249	2560	-32768	-9024	32767	-877	989	-481	-22376	-12632	6536	-876	188	-341	-4368	11416	16208	1350	2878	-1566	-22512	4320	-4672	540	2411	-369	-20296	11696	2656	684	286	-109	92	129	1
-27064	-2180	21660	1478	3449	1762	-19608	-11896	-10536	5866	3403	874	-25304	-10200	15568	1266	1555	-777	-4168	11472	16664	1823	3569	-2202	-27848	-1760	-2768	311	2512	-478	-26032	10120	10752	457	-866	60	120	130	1
-16156	-5084	17288	614	2544	1445	-11840	15648	-11040	4230	3610	1107	-16368	12528	-5648	3228	2056	1466	-4640	12344	15808	2211	4767	-2960	-30408	-9512	4056	1756	2851	-504	-24536	-88	17320	-297	-2097	-214	121	135	1
-22060	-15136	13268	1201	878	641	-15608	-7176	-13080	1057	2675	-165	-13552	13688	-10032	2293	1051	553	-11376	19824	19264	2174	5844	-3848	-28760	-2776	2144	2766	3273	-359	-19536	-11408	14648	-921	-2231	-617	130	127	1
-9144	-4220	12644	1082	145	562	-16936	-6264	-10328	1574	1901	-915	-8464	3184	-6888	-993	1456	256	-15960	21824	21536	2044	5937	-3983	-29752	8960	-4056	2337	3096	-354	-20872	-3288	4888	1451	-1833	-744	140	119	1
-11152	-3664	16808	711	11	279	-19608	2312	-10160	779	1496	-325	-17592	-3424	-9168	-1381	1685	-96	-26160	25352	15368	816	6472	-4590	-29176	9784	-4408	2087	3299	-394	-23688	8600	-11544	3988	-1198	-22	130	125	1
-8556	-8896	12136	327	44	63	-17432	-1064	-6344	-1477	1078	-49	-21592	-3032	-7824	-272	1966	-290	-11024	24392	32767	2405	3858	-3653	-23176	4384	-13712	-1476	3899	-1428	-28096	10536	-11384	2752	-1688	1040	119	119	1
-7424	-8476	11996	240	10	57	-15776	-2600	-3968	-2574	743	-247	-16248	288	-1264	109	1572	-2	-6384	32767	31720	-828	-803	-2267	-19776	6296	-14976	-2222	2341	-579	-29024	2440	-6496	-157	-2829	1045	113	120	1
-7412	-7132	12460	115	72	73	-15904	-5432	-3888	-2455	504	-494	-16624	1088	-840	-422	1528	278	3472	10904	16616	-2384	-2304	-2140	-19624	-4536	-3056	210	1387	-512	-28688	728	-7720	-1614	-3409	828	117	124	1
-7588	-7712	12340	-27	146	65	-15984	-10944	-2720	-664	525	-415	-17560	-2488	-2888	-640	1407	775	3840	10904	11288	-1275	-3229	-2009	-11440	-1624	-7000	1053	57	-134	-23416	1952	-6736	-1462	-3031	1280	70	123	1
-7800	-8084	11892	-46	141	56	-14352	-9904	-4168	1559	860	-82	-14824	-4512	-2440	-322	1260	911	7192	14584	7256	-1624	-3428	-1001	-6416	-1904	-5576	1796	-616	-129	-21360	960	-5752	-602	-2914	1383	165	121	1
-7656	-8156	11432	26	121	63	-15296	-4728	-3944	2264	899	146	-14632	-3784	-1768	-32	1219	659	6784	7936	5672	-1619	-3164	147	-7552	-2640	-5160	2164	-1429	-56	-18640	824	-5880	238	-2572	1084	129	127	1
-7684	-8380	11500	111	91	87	-16536	448	-2496	1041	631	-22	-16696	-1384	-1344	0	1318	446	5296	7680	5664	-578	-2883	1100	-8544	120	-5568	1947	-2261	26	-18664	1592	-6480	395	-2393	1152	143	129	1
-7692	-7596	12172	83	99	99	-16848	504	-2832	-895	322	-260	-16808	808	-288	-161	1356	530	2208	12384	8064	-138	-2797	1923	-8144	2192	-6568	1368	-2938	164	-17752	1712	-6912	-86	-2414	1011	131	125	1
-7580	-7236	12212	-11	133	78	-15584	-4392	-1816	-1736	227	-308	-15336	704	72	-249	1399	685	-1192	12216	10840	-95	-3198	2648	-7144	3608	-7704	697	-3643	462	-15632	3200	-7048	-748	-2277	656	125	130	1
-7816	-8024	11672	-35	143	83	-13928	-8304	-904	-1203	380	-213	-14504	-624	-336	-332	1469	782	-3624	10952	12008	296	-3877	3037	-7768	4072	-7128	-110	-4181	553	-13008	3768	-7152	-1202	-2138	570	124	123	1
-7740	-7652	11808	-22	127	103	-14160	-7328	-1304	-135	547	-180	-14536	-760	-440	-339	1477	785	-5160	12272	11464	483	-4446	2997	-9528	2960	-7376	-634	-4649	657	-10784	2832	-7072	-1744	-1967	747	125	126	1
-7644	-7844	11764	-8	114	113	-14696	-5296	-1568	261	659	-131	-16000	-3896	1112	-268	1871	628	-7096	12552	13128	431	-4766	2829	-11264	1704	-8816	-1130	-5111	753	-9752	1376	-7496	-2108	-1728	727	123	127	1
-8000	-7836	11812	16	94	123	-15264	-4304	-2512	57	697	-141	-15912	-4496	1200	-734	2334	443	-8872	12552	14056	747	-4962	2687	-12960	536	-9704	-1320	-5469	749	-9368	-368	-7912	-2209	-1500	469	123	129	1
-7960	-7664	11800	15	97	137	-15056	-4256	-2952	-467	683	-139	-16272	-4744	-3568	-637	2176	474	-9616	17128	14496	887	-4956	2619	-14488	-1472	-9512	-742	-5682	695	-8808	-2368	-7536	-2205	-1379	178	124	128	1
-7968	-8152	11900	16	88	166	-15272	-5520	-2944	-674	668	-116	-18408	-4016	-5792	-103	1587	507	-10808	19880	16800	729	-4550	2954	-15592	-2320	-10760	108	-5899	871	-7904	-4552	-6752	-1771	-1159	-82	124	129	1
-8300	-7664	12372	-22	129	213	-15328	-5544	-3352	-656	675	-118	-17680	-1688	-5248	344	1339	488	-11608	21136	20120	1043	-4049	3630	-18952	-1592	-12368	747	-6093	1112	-7368	-4776	-6968	-1620	-1144	-89	117	127	1
-8188	-7316	12136	-72	214	259	-15808	-4776	-3624	-454	737	-81	-15392	-944	-3560	171	1251	571	-15736	29192	23344	1122	-3619	4239	-25368	2968	-12712	1148	-6222	1618	-6848	-5232	-2240	-418	-563	-196	130	128	1
-4008	-8384	12388	-45	406	300	-15296	-4616	-2624	-500	795	-69	-15424	-1360	-1144	-15	1159	586	-23144	23000	28000	1177	-3205	4932	-26808	8656	-12712	-170	-6238	1785	-8928	-344	3640	363	-228	-6	121	126	1
-8036	-7524	12460	-124	584	338	-15752	-4136	-1848	-549	950	-34	-17848	-1968	320	161	1115	418	-32768	21560	24824	2017	-2961	5021	-27064	9560	-15456	-2013	-5604	1126	-12584	8744	10200	1518	-64	657	120	127	1
-7760	-7296	12744	-173	755	369	-16120	-5232	-1064	-552	1158	3	-18584	-2008	1096	83	1095	332	-32768	19880	14088	909	-2620	4315	-23040	5672	-15184	-2867	-4259	443	-20112	16248	18312	1765	41	1586	127	126	1
-8408	-7576	12392	-219	1004	416	-16072	-5896	-2040	-377	1401	82	-17072	-1720	592	-349	1070	263	-32768	-3248	6496	1092	-1803	2522	-17296	672	-21760	-3026	-2858	433	-17384	14904	24952	1863	98	1396	127	126	1
-8552	-7952	13012	-210	1274	491	-16872	-4784	-3264	-258	1583	144	-16376	-56	-1144	-715	1158	91	-32768	112	1168	1925	-2039	148	-8528	-4824	-21344	680	-1496	752	-16808	16856	23800	-211	-12	922	130	126	1
-8764	-7200	12928	-223	1623	549	-17176	-3848	-4368	-453	1682	226	-16760	-472	-2832	-1004	1055	118	-32768	-1808	1960	986	-1164	-1384	-3624	-664	-15840	3527	810	1240	-16760	10240	14328	-347	-259	564	116	126	1
-9220	-8548	12520	-204	2013	680	-16864	-4736	-3208	-485	1770	299	-17432	-2184	-3184	-1128	802	208	-31480	7400	4128	-503	121	-1819	-10648	672	-17568	4095	2528	588	-12200	5896	6952	-425	116	384	126	126	1
-9760	-8536	11648	-267	2310	970	-17176	-4872	-3872	-534	1923	281	-18072	-2816	-1200	-915	437	325	-21640	7600	6760	-942	1009	-1797	-17496	7088	-12264	2726	3187	50	-10544	6032	432	207	489	89	77	125	1
-9620	-8124	12032	-347	2623	1227	-17104	-3288	-3272	-850	2084	272	-17488	-3432	1104	-673	85	377	32767	32680	9192	-5633	3373	-1973	-32744	22160	32767	5121	2329	-455	480	5696	-11608	139	892	-642	129	124	1
-9464	-8636	13196	-424	3087	1534	-19552	-3728	-2280	-1343	2213	336	-19096	-5472	3248	-697	-329	171	-24472	9496	18048	-456	5055	-1520	-13736	8104	-3648	-5213	1602	155	-28528	32767	10752	1016	1798	1043	155	125	1
-9432	-10068	12988	-361	3916	1944	-25792	-3576	-2176	-1397	2372	580	-24064	-6800	9312	-658	-1130	-240	-19472	1672	27624	-407	2805	-1577	-12928	-19936	-9696	-8058	2862	-1215	-25072	2320	10472	-3686	2080	-331	135	120	1
-10868	-13124	12484	-363	4948	2807	-28216	-2248	6392	-2005	2412	546	-21376	-3408	9472	-991	-2022	-147	-6344	23624	11664	-192	2093	-1034	-28672	-7536	-8128	-4795	3238	-1461	-22920	-19408	-7432	-5478	1150	-776	135	120	1
-20184	-12928	11380	-211	5500	3754	-24760	-3856	1624	-2513	2711	466	-21472	5720	11856	-479	-2016	423	-23304	17400	28496	-298	1940	-817	-16384	-1520	-14744	-2893	1934	290	-12576	-14880	1248	-1789	323	-73	135	122	1
